id,text,polarization,back_translated
swa_53de6a7a4d0123b5755da79d8d97a82f,uwizi rt kenyan rao akishinda nitachinja kuku cnn kenyans are planning to kill luhyas should raila win,1,Uhuru rt Kenya rao anashinda mimi kuua kuku CNN Wakenya ni mipango ya kuua luhyas lazima Raila kushinda
swa_ee2533cb334df97236ea2bcfda0d6823,wakikuyu ndio wako na manyumba za kukodeshwa tutaona nyasi no nani,1,Tini ni yako na nyumba ni kukodishwa.
swa_1dd81b5985840a55b1ab292aa65d11a8,wakikuyu ni wezi power hungry and this time we have refused kama ni mbaya we are seceding,1,Wikuyu ni wezi njaa nguvu na wakati huu tumekataa kama ni mbaya sisi ni kujitenga
swa_18589adc3945e20c5e5c61e10245fad1,wakikuyu sijui shida yenu ni nini kuogopa railskwani aliwafanyia ninimlikuwa wajinga politically akawachanuahii kenya si yenu,1,WIKIKUYU Sijui tatizo lako ni nini hofu Railskwani alifanya nao mimi nilikuwa mjinga kisiasa wao kukua katika Kenya si yako
swa_aee76fc4cd1c6c6c09e19ba5ddd3901a,wakikuyu walisogwa hwakuumbwa,1,Na tini zilifunuliwa na kuumbwa
swa_0d6183da8b34ffb6121607ad956075e7,wakikuyu wanajidai wembe ni ule ulena hamna kurawakale ndio wako na kura,1,Wavuvi wanadai kuwa yeye ndiye aliye na kura.
swa_f15905697b5e0c9cff59c9268a667f7a,wakikuyu wanapewa free na cheap transport kupigia mtu wao kura wakale wanaenda mbio kwa miguu hapa ni kucheswo nrm,1,Wikuyu wanapewa usafiri wa bure na wa bei rahisi kupiga kura kwa mtu wao kupiga kura kwa umri wao kwenda mbio kwa miguu hapa ni NRM
swa_97434e1811355127ead49dd3c23c2f23,wakikuyu wasitense in canaan tutawapatia gethsemoney na wakorino wote watakuwa wakorintho youcantkillusall canaanforall,1,"Kama wao si katika Kanaani, sisi kuwapa Gethsemane na Wakorintho wote watakuwa Wakorintho."
swa_dba828eb571c6c37060f32585b936c2f,wakubwa nimepika omena zikaungua sa ploti mzima inanuka kisumunaona wajaluo wakiulizia kama kuna vacant house,1,Watu wazima niliopika omelette walichomwa eneo lote lina harufu kama ya buibui.
swa_71734e9f156a93042d8f2d38b6e8790b,wakikuyu nao wanazugumza kuhusu ploti kwa twitter tu kwa lugha yao tenangai kwani hawa watu wamerogwa na ardhi,1,Vikings pia wanazungumza kuhusu njama hiyo kwenye Twitter kwa lugha yao ya Tengai tu kwa sababu watu hawa wameondolewa na ardhi.
swa_f425b8d3c3a2f8ec5851a62772c0afc6,walai si wakikuyu solo wote ni wajinga,1,Wale tu ambao si peke yao ni wapumbavu wote.
